央视频道,#genre#
CCTV 1 綜合「Relay」,https://iptv.yang-1989.xyz/cn/bpw62m?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 2 財經「Relay」,https://iptv.yang-1989.xyz/cn/cz3ce2?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 3 綜藝「Relay」,https://iptv.yang-1989.xyz/cn/jew7s9?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 4 中文國際「Relay」,https://iptv.yang-1989.xyz/cn/22ynr2?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 5 體育「Relay」,https://iptv.yang-1989.xyz/cn/frme6t?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 5+ 體育賽事「Relay」,https://iptv.yang-1989.xyz/cn/uyt9bs?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 6 電影「Relay」,https://iptv.yang-1989.xyz/cn/sxf29g?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 7 國防軍事「Relay」,https://iptv.yang-1989.xyz/cn/jh7s72?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 8 電視劇「Relay」,https://iptv.yang-1989.xyz/cn/tu75ya?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 9 記錄「Relay」,https://iptv.yang-1989.xyz/cn/kjy2xd?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 10 科教「Relay」,https://iptv.yang-1989.xyz/cn/v65z8r?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 11 戲曲「Relay」,https://iptv.yang-1989.xyz/cn/zg3sgu?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 12 社會與法「Relay」,https://iptv.yang-1989.xyz/cn/2jznxm?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 13 新聞「Relay」,https://iptv.yang-1989.xyz/cn/7ugqny?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 14 少兒「Relay」,https://iptv.yang-1989.xyz/cn/d28eb4?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 15 音樂「Relay」,https://iptv.yang-1989.xyz/cn/3rmg4b?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 16 奧林匹克「Relay」,https://iptv.yang-1989.xyz/cn/yp5t8n?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV 17 農村農業「Relay」,https://iptv.yang-1989.xyz/cn/vc29st?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
CCTV1,https://php.jdshipin.com/TVOD/iptv.php?id=cctv1
CCTV2,https://php.jdshipin.com/TVOD/iptv.php?id=cctv2
CCTV3,https://php.jdshipin.com/TVOD/iptv.php?id=cctv3
CCTV4,https://php.jdshipin.com/TVOD/iptv.php?id=cctv4
CCTV5,https://cdn.qd.je/163189/cctv5
CCTV5,https://cdn.qd.je/163189/cctv5-2
CCTV5+,https://php.jdshipin.com/TVOD/iptv.php?id=cctv5p
CCTV5+,https://cdn.qd.je/163189/cctv5p-2
CCTV6,https://php.jdshipin.com/TVOD/iptv.php?id=cctv6
CCTV7,https://php.jdshipin.com/TVOD/iptv.php?id=cctv7
CCTV8,https://php.jdshipin.com/TVOD/iptv.php?id=cctv8
CCTV9,https://php.jdshipin.com/TVOD/iptv.php?id=cctv9
CCTV10,https://php.jdshipin.com/TVOD/iptv.php?id=cctv10
CCTV11,https://php.jdshipin.com/TVOD/iptv.php?id=cctv11
CCTV12,https://php.jdshipin.com/TVOD/iptv.php?id=cctv12
CCTV13,https://php.jdshipin.com/TVOD/iptv.php?id=cctv13
CCTV13,https://cdn.qd.je/163189/cctv13-2
CCTV14,https://php.jdshipin.com/TVOD/iptv.php?id=cctv14
CCTV15,https://php.jdshipin.com/TVOD/iptv.php?id=cctv15
CCTV16,https://php.jdshipin.com/TVOD/iptv.php?id=cctv16
CCTV16,https://cdn.qd.je/163189/cctv16-2
CCTV17,https://php.jdshipin.com/TVOD/iptv.php?id=cctv17
广东频道,#genre#
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
港澳频道,#genre#
凤凰资讯 (720p),http://php.17186.eu.org/phtv/fhzx.m3u8
無綫新聞台,https://iptv.yang-1989.xyz/hk/vnbjj2?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
TVB Plus,https://iptv.yang-1989.xyz/hk/9t459q?token=ac890ab523d4031e4aef693a44309a6952178b6db8bfbad0
無綫新聞台,https://cdn.qd.je/163189/wxxw
無綫新聞台,https://cdn.qd.je/163189/wxxwt
TVB Plus,https://cdn.qd.je/163189/tvbp2
TVB Plus「字幕」,https://cdn.qd.je/163189/tvbp
TVB Plus「WebVTT字幕」,https://cdn.qd.je/163189/tvbpvtt
凤凰中文台,https://cdn.qd.je/163189/fhzw
凤凰资讯台,https://cdn.qd.je/163189/fhzx
凤凰香港台,https://cdn.qd.je/163189/fhhk
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
TVB Drama,https://cdn.qd.je/163189/tvbd
TVB 功夫台,https://cdn.qd.je/163189/yzwx
TVB 星河台,https://cdn.qd.je/163189/tvbxh
TVB 星河台,https://cdn.qd.je/163189/xinghe
TVB 星河台,https://cdn.qd.je/163189/tvbxh2
