港澳频道,#genre#
无线新闻台(保底),http://r.jdshipin.com/CkuBd
凤凰资讯 (720p),http://php.17186.eu.org/phtv/fhzx.m3u8
翡翠台「24小时回看」,https://iptv.yang-1989.xyz/hk/8cawbz?token=33f85d3ab19bcb53c9d652c3e133d726fe741deb12931d06
無綫新聞台,https://iptv.yang-1989.xyz/hk/mrepzr?token=33f85d3ab19bcb53c9d652c3e133d726fe741deb12931d06
明珠台,https://iptv.yang-1989.xyz/hk/7m5jja?token=33f85d3ab19bcb53c9d652c3e133d726fe741deb12931d06
TVB Plus,https://iptv.yang-1989.xyz/hk/6yussc?token=33f85d3ab19bcb53c9d652c3e133d726fe741deb12931d06
翡翠台,https://cdn.qd.je/163189/fct
翡翠台 4K「字幕」,https://cdn.qd.je/163189/fct4k
翡翠台「字幕」,https://cdn.qd.je/163189/fct2
翡翠台「WebVTT字幕」,https://cdn.qd.je/163189/fctvtt
無綫新聞台,https://cdn.qd.je/163189/wxxw
無綫新聞台,https://cdn.qd.je/163189/wxxwt
明珠台「字幕」,https://cdn.qd.je/163189/mzt
明珠台「WebVTT字幕」,https://cdn.qd.je/163189/mztvtt
TVB Plus,https://cdn.qd.je/163189/tvbp2
TVB Plus「字幕」,https://cdn.qd.je/163189/tvbp
TVB Plus「WebVTT字幕」,https://cdn.qd.je/163189/tvbpvtt
凤凰中文台,https://cdn.qd.je/163189/fhzw
凤凰资讯台,https://cdn.qd.je/163189/fhzx
凤凰香港台,https://cdn.qd.je/163189/fhhk
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台「硬字幕」,https://cdn.qd.je/163189/jade
华丽翡翠台「新加坡」,https://cdn.qd.je/163189/hlfct
华丽翡翠台「新加坡」,https://cdn.qd.je/163189/jade2
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
TVB Drama,https://cdn.qd.je/163189/tvbd
TVB 功夫台,https://cdn.qd.je/163189/yzwx
TVB 星河台,https://cdn.qd.je/163189/tvbxh
TVB 星河台,https://cdn.qd.je/163189/xinghe
TVB 星河台,https://cdn.qd.je/163189/tvbxh2
TVBS精采台,http://4gtv.cnlive.club/channel/49d50255/index.m3u8?q=1784702901150
TVBS新聞,http://4gtv.cnlive.club/channel/n1ea96b20/index.m3u8?q=1784702901150
